ELECTION DATE	ELECTION TYPE	ELECTION NAME	VOTER ID	Last Name	First Name	Middle Name	Suffix	DOB	VOTER STATUS	VOTER STATUS REASON	ABSENTEE INFORMATION	MAILING ADDRESS	HOUSE NUMBER	HOUSE SUFFIX	PRE DIRECTION	STREET NAME	STREET TYPE	POST DIRECTION	UNIT TYPE	UNIT NUMBER	NON STANDARD ADDRESS	CITY	STATE	ZIP	POLLING PLACE CODE	POLLING PLACE NAME	POLLING PLACE ADDRESS	PRECINCT CODE	PRECINCT NAME	SPLIT	BALLOT STYLE	REGISTRATION DATE
01/01/2021	General	MCVR TEST ELECTION	69059186	Morales	Carla	William	PhD	5/27/1980	Active				1033	A	 S	Mary Island	 ST	 S	 Trailer	3762	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	54485226	Bray	Shane	Megan	PhD	5/27/1980	Active				7910	A	 S	Lawrence Meadow	 ST	N	 Trailer	3189	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	82675946	Sanders	Kirk	Jessica	PhD	5/27/1980	Active				4209	A	 East	Elizabeth Camp	 BLVD	N	 STE	9610	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	40445205	Williams	William	Nicole	PhD	5/27/1980	Active				7128	B	N	Monica Ways	 AVE	 North	 STE	2322	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	79688179	Sanchez	Kevin	Tiffany	PhD	5/27/1980	Active				1892	A	 East	Lane Land	 AVE	 North	APT	4450	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	43344985	Huff	Sean	Victoria	PhD	5/27/1980	Inactive				8982	C	 S	Conner Meadows	 ST	 South	 STE	947	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	82203873	Smith	Steven	Joseph	PhD	5/27/1980	Active				7157	C	 West	David Ways	 ST	 South	 Trailer	2409	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	19297418	Smith	Robert	Sherri	MD	5/27/1980	Active				9957	A	N	William Parks	 ST	 South	APT	2172	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	55401937	Roberson	Darryl	Bobby	MD	5/27/1980	Active				9566	C	 West	Gray Mission	DR	N	 Trailer	4986	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	96352266	Rivera	James	Matthew	PhD	5/27/1980	Active				3170	A	N	Taylor Trafficway	 AVE	 South	 STE	3114	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	43505149	Shaw	Bob	Carolyn	MD	5/27/1980	Active				9925	B	 West	Robin Mountains	DR	 S	 Unit	3265	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	84587388	Lane	Kevin	Kayla	MD	5/27/1980	Active				6375	A	 East	Wilson Key	DR	 North	 STE	1232	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	81548371	Jacobs	Heather	Mia	PhD	5/27/1980	Active				4488	B	 S	Smith Mill	 ST	 S	 STE	4966	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	64844900	Stafford	Alexis	Chris	PhD	5/27/1980	Active				4449	C	 S	Hill Valley	 AVE	 North	 STE	1539	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	16457651	Saunders	Andrea	Jennifer	PhD	5/27/1980	Inactive				1942	B	N	Kyle Greens	 ST	 North	 Unit	7646	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	48958410	Boyd	Kyle	Richard	PhD	5/27/1980	Inactive				2325	C	 S	Bell Light	 ST	 South	 Unit	8602	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	40551924	Spencer	Heather	David	PhD	5/27/1980	Active				1105	D	 West	Wright Square	 BLVD	 South	 STE	3598	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	36878848	Booth	John	Ellen	MD	5/27/1980	Inactive				2947	D	 East	Gonzalez Plaza	DR	 South	APT	6751	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	81020142	Herrera	Jennifer	Ryan	MD	5/27/1980	Active				9821	B	 West	Lane Extensions	 BLVD	 South	 STE	6298	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	51461343	Williams	Christopher	Katie	PhD	5/27/1980	Active				1315	D	N	Morales Ways	 BLVD	N	APT	8755	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	93253424	Martin	Kristen	Peter	PhD	5/27/1980	Active				2486	B	 East	Garcia Drive	 AVE	 S	 STE	4062	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	23033844	Jones	Christopher	Brandon	MD	5/27/1980	Active				4914	B	N	Hector Greens	 BLVD	 South	APT	1311	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	52451002	Smith	Michael	Margaret	PhD	5/27/1980	Active				8202	A	 West	Betty Forges	 BLVD	N	 STE	8222	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	18459768	Cook	Crystal	Patricia	MD	5/27/1980	Active				4456	B	 East	Gonzales Summit	 BLVD	 S	 Unit	9409	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	61033067	Yu	Bryan	Mary	MD	5/27/1980	Active				8147	B	 West	Donna Trail	 ST	 South	 Trailer	7848	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	71629669	Long	Bradley	Ivan	PhD	5/27/1980	Active				8902	C	 S	Davis Branch	DR	 South	 Trailer	6552	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	77884229	Freeman	Christopher	April	PhD	5/27/1980	Active				6456	A	 West	Meadows Circle	 BLVD	 South	 Trailer	7687	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	21147730	Moore	Walter	Darrell	MD	5/27/1980	Inactive				9733	B	 East	Meagan Trail	DR	 S	 Trailer	5152	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	62996987	Kelly	Victoria	Derek	MD	5/27/1980	Active				7036	C	 S	Wendy Square	 BLVD	 North	 STE	1072	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	64296085	Gutierrez	Ryan	Aaron	PhD	5/27/1980	Active				1987	A	 West	Christopher Centers	 AVE	 North	APT	6065	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	42261729	Clark	Susan	Stephanie	MD	5/27/1980	Inactive				9457	B	 East	Michael Prairie	 AVE	 North	 Trailer	6920	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	53356783	Gonzalez	Holly	Melissa	MD	5/27/1980	Active				3313	C	 S	Christopher Points	 ST	 North	 Unit	3855	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	37438834	Gonzales	Lisa	Kristen	MD	5/27/1980	Active				4565	D	 West	Scott Overpass	 AVE	 North	 Unit	6455	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	97454510	King	Margaret	Erika	PhD	5/27/1980	Active				8685	A	 S	Christopher Fords	 ST	N	APT	1578	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	67716873	Hampton	Amber	Angela	PhD	5/27/1980	Active				2551	A	 West	Holly Alley	DR	 S	 Unit	2375	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	53158835	Mcguire	Victor	Nathan	PhD	5/27/1980	Active				8906	D	N	Jonathan River	DR	N	 STE	9621	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	22286310	Stevens	Melissa	William	PhD	5/27/1980	Active				6036	A	N	Jesus Court	 BLVD	 South	APT	5496	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	82625270	Jones	Cynthia	Joseph	MD	5/27/1980	Active				9431	D	 West	Vazquez Court	 ST	 S	 Unit	5010	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	20142708	Munoz	Jill	Cole	PhD	5/27/1980	Active				9664	C	 East	Gregory Streets	 BLVD	 S	 Unit	6296	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	86279608	Weaver	Pamela	Aaron	PhD	5/27/1980	Active				6599	B	N	Morgan Square	 BLVD	 S	 Trailer	8273	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	97373058	Reid	James	Joshua	MD	5/27/1980	Active				9689	D	 S	Lopez Rue	 AVE	 North	 STE	7779	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	60325430	Braun	Sarah	Adrienne	PhD	5/27/1980	Active				5439	D	 S	Eric Knolls	 BLVD	 North	 Unit	5488	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	47464403	Jackson	Crystal	Ashley	PhD	5/27/1980	Active				5491	C	N	Micheal Locks	DR	 North	 Unit	4228	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	78373261	Sanders	Jody	Paula	PhD	5/27/1980	Active				1633	B	 West	Davis Landing	 ST	 South	 Unit	5301	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	16405910	Castillo	Marilyn	Cynthia	PhD	5/27/1980	Inactive				6198	D	 East	Henson Underpass	DR	 South	APT	1539	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	28812401	Combs	Valerie	Annette	MD	5/27/1980	Active				6191	A	 S	Brooks Street	 AVE	 South	 Unit	5644	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	65608480	Ross	Sean	Chad	MD	5/27/1980	Active				1326	A	N	Cindy Inlet	 ST	 S	 STE	2082	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	98805012	Rich	Michael	Jacqueline	MD	5/27/1980	Active				5861	C	 East	Holly Lane	 ST	N	APT	152	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	46532478	Roberson	Brian	Amanda	PhD	5/27/1980	Inactive				4556	A	 East	Jimenez Locks	 AVE	 S	APT	1677	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	81367961	Johnson	Julie	Cynthia	MD	5/27/1980	Inactive				8863	B	 East	Patricia Haven	 AVE	 S	 Unit	6782	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	69307609	Gonzalez	Lisa	David	MD	5/27/1980	Active				3697	A	 S	Moyer Gateway	 AVE	 South	 Unit	4473	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	32975152	Cameron	Jennifer	Kevin	MD	5/27/1980	Inactive				3364	D	N	Andrea Lock	DR	N	 Unit	6280	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	77476289	Allen	Matthew	David	MD	5/27/1980	Active				4739	D	N	Perry Stravenue	 AVE	 S	 STE	5557	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
01/01/2021	General	MCVR TEST ELECTION	53606840	Shelton	Kurt	Heather	PhD	5/27/1980	Active				3789	B	 West	Yvonne Pines	DR	 South	 STE	2122	fake non stand address	St. Louis	MO	63134	1003	Missouri Botanical Garden	4344 Shaw Blvd St. Louis, MO 63110	101	101	1	101-1	01/01/2019
